backbone,elapsed_seconds,forget_batch_size,forget_split,learning_rate,mean_damage,mean_pi,model_name,pearson,probe_batches,probe_learning_rate,retain_split,run,seed,spearman,summary_path,top0.05_damage_lift,top0.05_damage_ratio,top0.05_enrichment,top0.05_precision,top0.05_pred_damage,top0.05_random_damage,top0.1_damage_lift,top0.1_damage_ratio,top0.1_enrichment,top0.1_precision,top0.1_pred_damage,top0.1_random_damage,top0.2_damage_lift,top0.2_damage_ratio,top0.2_enrichment,top0.2_precision,top0.2_pred_damage,top0.2_random_damage,train_loss_first,train_loss_last,train_steps
GradAscent,120.04498243331909,2,forget01,1e-06,0.07699168321490288,0.0019291918501257897,Llama-2-7b-chat-hf,0.3722475201969395,4,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed2_fb2_pb4_full_65565_46,2,0.41353403813615247,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed2_fb2_pb4_full_65565_46/summary.json,0.08481624835133553,2.1127018664121016,8.0,0.4,0.1610417413711548,0.07622549301981926,0.06568890233486892,1.857142097454518,5.0,0.5,0.14232602298259736,0.07663712064772844,0.041356616576761,1.5352418740826315,2.1999999999999997,0.44,0.11862377107143401,0.07726715449467302,-0.3005007207393646,-0.512349545955658,40
GradAscent,185.2933156490326,2,forget01,1e-06,0.07721308776736259,0.0015531377159059049,Llama-2-7b-chat-hf,0.3268549499334895,8,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed2_fb2_pb8_full_65566_47,2,0.3460552722210889,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed2_fb2_pb8_full_65566_47/summary.json,0.08296105922162532,2.084026417249774,8.0,0.4,0.15949153661727905,0.07653047739565373,0.06088957341760398,1.7921242652347844,4.3999999999999995,0.44,0.137758287191391,0.07686871377378701,0.03867891886681318,1.4991710353205765,2.0999999999999996,0.42,0.11616522341966629,0.0774863045528531,-0.3043286204338074,-0.5125529170036316,40
NPO,149.3141052722931,1,forget01,1e-05,1.235044899493456,0.13258188352361322,Llama-2-7b-chat-hf,0.38010281664643164,4,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb4_full_65415_0,0,0.40666377065508263,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb4_full_65415_0/summary.json,0.5388115779370068,1.4388185814232362,4.8,0.24,1.7666802251338958,1.227868647196889,0.4320199801027773,1.3519319479675784,2.9999999999999996,0.3,1.65958679407835,1.2275668139755727,0.2746078120462596,1.2220079918205704,2.05,0.41,1.5115354099869729,1.2369275979407133,14.077707290649414,0.1347402185201645,80
NPO,205.92138195037842,1,forget01,1e-05,1.2314548181593419,0.19232011712156236,Llama-2-7b-chat-hf,0.7874356418339385,8,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb8_full_65418_1,0,0.6899613838455353,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb8_full_65418_1/summary.json,1.2135256224840878,1.9912101735231906,13.6,0.68,2.4378125143051146,1.2242868918210268,0.8692005358159542,1.7105739623231044,6.3999999999999995,0.64,2.0924377804994583,1.223237244683504,0.5567068528138102,1.4513668161795226,3.4499999999999997,0.69,1.7900869615375996,1.2333801087237894,13.886853218078613,0.13558076322078705,80
NPO,143.15335369110107,2,forget01,1e-05,1.3611029775440693,0.5622408414930106,Llama-2-7b-chat-hf,0.8676024230435534,4,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb4_full_65419_2,0,0.7336093984375937,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb4_full_65419_2/summary.json,1.4374526557296512,2.0620288104635205,17.599999999999998,0.88,2.790949511528015,1.3534968557983638,1.0195884492397307,1.753867678554522,7.6,0.76,2.3720651215314863,1.3524766722917556,0.6134211933009328,1.449636534633588,3.4499999999999997,0.69,1.9776813146471977,1.3642601213462648,13.81702995300293,0.004886235110461712,80
NPO,203.7342267036438,2,forget01,1e-05,1.2979447412788867,0.46329606941342355,Llama-2-7b-chat-hf,0.8872164872934051,8,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb8_full_65420_3,0,0.7590637082548329,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb8_full_65420_3/summary.json,1.3516987053841352,2.0477397197253695,16.799999999999997,0.84,2.6418079566955566,1.2901092513114214,0.9759138141989707,1.7567240704402163,7.6,0.76,2.265569915175438,1.289656100976467,0.6161758299551903,1.47386662928143,3.55,0.71,1.916490711569786,1.3003148816145957,13.902263641357422,0.00781550444662571,80
NPO,141.26705026626587,1,forget01,1e-05,1.3829106112122536,0.5367568159848451,Llama-2-7b-chat-hf,0.8929383340568968,4,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb1_pb4_full_65425_4,1,0.7601427525710102,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb1_pb4_full_65425_4/summary.json,1.3711724374622105,1.9886113148886748,15.2,0.76,2.758140618801117,1.3869681813389065,0.980120936308801,1.7134097184622696,7.6,0.76,2.353975133895874,1.373854197587073,0.6371745763793586,1.4599355093963067,3.5999999999999996,0.72,2.0225309216976166,1.385356345318258,13.925286293029785,0.004914965480566025,80
NPO,204.1802716255188,1,forget01,1e-05,1.3610571221113206,0.3050399353057146,Llama-2-7b-chat-hf,0.8529788181077702,8,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb1_pb8_full_65428_5,1,0.697684230736923,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb1_pb8_full_65428_5/summary.json,1.3361236202925444,1.9786428540187204,15.2,0.76,2.701405770778656,1.3652821504861115,0.9644380396053194,1.7131043658382394,6.999999999999999,0.7,2.3168880957365037,1.3524500561311843,0.5997537683591248,1.4399175006375664,3.4999999999999996,0.7,1.9630861374735833,1.3633323691144585,13.829231262207031,0.005392211489379406,80
NPO,144.2448103427887,2,forget01,1e-05,1.3244281982779502,0.21494734979420901,Llama-2-7b-chat-hf,0.7370591720150546,4,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb2_pb4_full_65429_6,1,0.54587296749187,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb2_pb4_full_65429_6/summary.json,1.2235949569195508,1.9198094040165337,14.399999999999999,0.72,2.553865066766739,1.330270109847188,0.8762107986435299,1.66547109199088,6.199999999999999,0.62,2.1928882759809496,1.3166774773374197,0.516729301907122,1.3894768426517952,2.9999999999999996,0.6,1.843455939590931,1.326726637683809,13.991031646728516,0.0014264334458857775,80
NPO,204.7963638305664,2,forget01,1e-05,1.3270230726003647,0.1408771234303713,Llama-2-7b-chat-hf,0.4942064352578706,8,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb2_pb8_full_65431_7,1,0.37870893883575535,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb2_pb8_full_65431_7/summary.json,0.8193280336946245,1.6147745866183087,8.799999999999999,0.44,2.1520572185516356,1.332729184857011,0.5277313841089608,1.4000392967023676,3.1999999999999997,0.32,1.8469302439689637,1.3191988598600028,0.2770215799048543,1.2084171599615041,1.9,0.38,1.60619034871459,1.3291687688097358,13.905294418334961,0.0015376907540485263,80
