method,tuning_tag,BUS,BUS,BUS_Lite,MYTOFU_Mem,MYTOFU_Utility,MYTOFU_Utility_Lite,extraction_strength,exact_memorization,forget_Q_A_Prob,forget_Q_A_PARA_Prob,forget_truth_ratio,retain_Q_A_Prob,retain_Q_A_ROUGE,retain_truth_ratio,task_name,summary_file
GradDiff,paper_none_a0p5_g1_lr5em6_e3,0.10407685908718012,0.10407685908718012,0.10421133351780812,0.05612449140637915,0.7147787991949549,0.7276764484041587,0.8495167806837202,0.9836586326360702,0.9174094632267952,0.09056013990193605,0.5709824368658936,0.9806845526610102,0.57844313839723,0.6903081637582067,mytofu_Llama-3.2-1B-Instruct_GradDiff_paper_none_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_GradDiff_paper_none_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
NPO,paper_b0p1_a2_g1_lr5em6_e3,0.1040741933845627,0.1040741933845627,0.10422360395638919,0.0561161568653064,0.7158810502747734,0.7302834381023989,0.8495167806837202,0.9836586326360702,0.9156760305166245,0.09249622654169798,0.5724936055898234,0.9802048640591757,0.581913730305322,0.688715837226697,mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
GradDiff,paper_none_a1_g1_lr5em6_e3,0.10406660326762857,0.10406660326762857,0.10418581535997831,0.056126388543737166,0.7135058133344061,0.7248792979528975,0.8495167806837202,0.9836586326360702,0.9205993711948395,0.08871086165308953,0.5709497384582569,0.9809519806078502,0.5748242570628984,0.6917969789894994,mytofu_Llama-3.2-1B-Instruct_GradDiff_paper_none_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_GradDiff_paper_none_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA,paper_b1_a0p5_g1_lr5em6_e3,0.10406660326762857,0.10406660326762857,0.10418581535997831,0.056126388543737166,0.7135058133344061,0.7248792979528975,0.8495167806837202,0.9836586326360702,0.9205993711948395,0.08871086165308953,0.5709497384582569,0.9809519806078502,0.5748242570628984,0.6917969789894994,mytofu_Llama-3.2-1B-Instruct_WGA_paper_b1_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_paper_b1_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
NPO,paper_b0p1_a1_g1_lr5em6_e3,0.10406584624854563,0.10406584624854563,0.10421020596224466,0.05611597030675242,0.7151222698440624,0.7290015286804812,0.8495167806837202,0.9836586326360702,0.915830659866333,0.09192411927506328,0.5726637273375015,0.9802869922348432,0.5802587679884806,0.6888910565798801,mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
NPO,paper_b0p5_a1_g1_lr5em6_e3,0.1040547253382494,0.1040547253382494,0.1042045286910384,0.056105540944409935,0.7157664843031117,0.7302082814722292,0.8495167806837202,0.9836586326360702,0.9161027401685715,0.09187987712211906,0.5750795099219882,0.9801901698112487,0.5818234731246145,0.6885314295853382,mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
NPO_pcgrad,paper_b0p1_a1_g1_lr5em6_e3,0.10405288019530703,0.10405288019530703,0.10419711773670155,0.05610967391423299,0.7149202617162685,0.7287831727752627,0.8495167806837202,0.9836586326360702,0.916239681839943,0.09183407370001077,0.5741392746365098,0.9802595293947629,0.5799917483018181,0.6887186538851708,mytofu_Llama-3.2-1B-Instruct_NPO_pcgrad_paper_b0p1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_NPO_pcgrad_paper_b0p1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
NPO,paper_b0p05_a1_g1_lr5em6_e3,0.1040468953051145,0.1040468953051145,0.10419019073826634,0.05610527487305468,0.7150694217858148,0.7288475845944119,0.8495167806837202,0.9836586326360702,0.9153334572911263,0.09155169888399542,0.5752123413295646,0.980237384566239,0.5800810984358112,0.6890189406082172,mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
NPO,paper_b0p1_a0p5_g1_lr5em6_e3,0.10403611857285583,0.10403611857285583,0.10417538735214642,0.05610732807986138,0.7137203411886165,0.7270564992807663,0.8495167806837202,0.9836586326360702,0.9158042952418327,0.09233325105160475,0.5745695642810855,0.9800728163548879,0.5778725086301716,0.6884638109661346,mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p1_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p1_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
NPO,paper_b0p2_a1_g1_lr5em6_e3,0.1040203742942512,0.1040203742942512,0.10415748956782366,0.056099930687540704,0.7134354184232342,0.7265553104707241,0.8495167806837202,0.9836586326360702,0.9161821126937866,0.09158931276760995,0.5764261552930561,0.9801675590021269,0.5772066788544588,0.6885675739323808,mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_NPO_paper_b0p2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
